1,Suva Svinjska Pecenica    Matijevic Slajs 100G,semi-finished products
2,Panceta Matijevic       Slajs 150G,semi-finished products
3,Pršuta Slajs Martex 100G,semi-finished products
4,Suvi Vrat Martex 100G,semi-finished products
5,Sunka Pik Vrbovec Fina 150G,semi-finished products
6,Zimska salama Pik Vrbovec 100g,semi-finished products
7,Prsut Majstor mesar lovcenski slajs 100g,semi-finished products
8,Prsut Pik Vrbovec Dalmatinski 100G,semi-finished products
9,Cajna Kobasica Matijevic Slajs 100G,semi-finished products
10,Cajna Kobasica Goranovic Slajs 100G,semi-finished products
11,Cajna kobasica Pik Vrbovec slajs 100g,semi-finished products
12,Kulen Matijevic Slajs 100G,semi-finished products
13,Kulen Topola Vp Slajs 100G,semi-finished products
14,Kulen Goranovic slajs 100g,semi-finished products
15,Izletnicka Salama Topola Slajs Vp 100G,semi-finished products
16,Piknik Salama Topola Slajs 100G,semi-finished products
17,Mortadela Pik Vrbovec slajs 150g,semi-finished products
18,Panona Salama Pik Vrbovec Slajs 100G,semi-finished products
19,Zlatiborac Slajs  Čajna Kobasica 100Gr,semi-finished products
20,Zlatiborac Slajs Goveđa Čajna kobasica 100gr,semi-finished products
21,Zlatiborac Slajs Sudžuk 100gr,semi-finished products
22,Zlatiborac Slajs Goveđa pršuta 100gr,semi-finished products
23,Zlatiborac Slajs Tanka Slanina 100Gr,semi-finished products
24,Zlatiborac Slajs Goveđa Ljuta kobasica 100gr,semi-finished products
25,Zlatiborac Slajs Goveđa Salama 100gr,semi-finished products
26,Zlatiborac Slajs Domaći Kulen 100Gr,semi-finished products
27,Zlatiborac Slajs  Domaća Salama 100Gr,semi-finished products
28,Budimska slajs Montella  100g,semi-finished products
29,Kulen slajs Montella 100g,semi-finished products
30,Sunka Cureca  Classic Pik Vrbovec Slajs 100G,semi-finished products
31,Prsuta govedja Ovako slajs 75gr,semi-finished products
32,Kobasica Grill Carnex tanka ljuta 230g,semi-finished products
33,Sunka Neoplanta stijesnjena 350g,semi-finished products
34,Grudi Curece Delikates Neoplanta 330G,semi-finished products
35,Sunka Carnex stijesnjena u omotu 350g,semi-finished products
36,Sunka Goranovic mini 350g stiješnjena u omotu,semi-finished products
37,Posebna kobasica Carnex mini 350g,semi-finished products
