1,Suva Svinjska Pecenica    Matijevic Slajs 100G,semi-finished products
2,Panceta Matijevic       Slajs 150G,semi-finished products
3,Pršuta Slajs Martex 100G,semi-finished products
4,Suvi Vrat Martex 100G,semi-finished products
5,Cajna Kobasica Matijevic Slajs 100G,semi-finished products
6,Cajna Kobasica Goranovic Slajs 100G,semi-finished products
7,Kulen Matijevic Slajs 100G,semi-finished products
8,Kulen Topola Vp Slajs 100G,semi-finished products
9,Izletnicka Salama Topola Slajs Vp 100G,semi-finished products
10,Budimska salama Goranovic slajs 100g,semi-finished products
11,Zlatiborac Slajs  Čajna Kobasica 100Gr,semi-finished products
12,Zlatiborac Slajs Goveđa Čajna kobasica 100gr,semi-finished products
13,Zlatiborac Slajs Sudžuk 100gr,semi-finished products
14,Zlatiborac Slajs Goveđa Salama 100gr,semi-finished products
15,Zlatiborac Slajs Domaći Kulen 100Gr,semi-finished products
16,Zlatiborac Slajs  Domaća Salama 100Gr,semi-finished products
17,Cajna slajs Montella 100g,semi-finished products
18,Kulen slajs Montella 100g,semi-finished products
19,Prsut Montstate rezani 100G,semi-finished products
20,Prsuta govedja Ovako slajs 75gr,semi-finished products
21,Sunka Neoplanta stijesnjena 350g,semi-finished products
22,Sunka Carnex stijesnjena u omotu 350g,semi-finished products
23,Sunka Goranovic mini 350g stiješnjena u omotu,semi-finished products
24,Posebna kobasica Carnex mini 350g,semi-finished products
25,Posebna Kobasica Gudi 300G,semi-finished products
26,Posebna kobasica Goranovic mini 350gr,semi-finished products
27,Extra posebna Perutnina Ptuj 800g,semi-finished products
28,Virsla Aia Wudy pileca classico mini 100g,semi-finished products
29,Polutrajna kobasica pileca 350g,semi-finished products
30,Grudi neoplanta pilece 350g,semi-finished products
31,Prsa Goranovic pileca u omotu mini 350g,semi-finished products
32,Prsa Goranovic cureca u omotu mini 350gr,semi-finished products
33,Virsla Carnex Pileca 205G,semi-finished products
34,Virsla Carnex delikates 205g,semi-finished products
35,Srpska kobasica Goranovic vp 300g,semi-finished products
36,Gorska kobasica Goranovic vakum 300g,semi-finished products
37,Srpska kobasica Carnex 310g,semi-finished products
38,Zlatiborac Kobasica Grill 250gr,semi-finished products
39,Zlatiborac Mini Pileća posebna kobasica 320gr,semi-finished products
